127.0.0.1, 2018-06-04 12:25:16, GET, /admin/static/_2.15.4/images/save_icon.png, HTTP/1.1, 200, 0.020000
127.0.0.1, 2018-06-04 12:25:16, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.432000
127.0.0.1, 2018-06-04 12:25:17, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.506000
127.0.0.1, 2018-06-04 12:25:17, POST, /admin/debug/list_breakpoints, HTTP/1.1, 500, 0.694000
127.0.0.1, 2018-06-04 12:25:17, GET, /rip/appadmin/hooks, HTTP/1.1, 500, 1.060000
127.0.0.1, 2018-06-04 12:25:19, GET, /rip/default/index, HTTP/1.1, 500, 0.088000
127.0.0.1, 2018-06-04 12:25:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:25:59, GET, /admin/default/ticket/rip/127.0.0.1.2018-06-04.12-25-19.2f74a001-2540-4363-b7a9-da9af29f0e26, HTTP/1.1, 200, 0.163000
127.0.0.1, 2018-06-04 12:25:59, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.001000
127.0.0.1, 2018-06-04 12:26:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:27:43, GET, /admin/default/peek/rip/views/default/index.html, HTTP/1.1, 200, 0.145000
127.0.0.1, 2018-06-04 12:27:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:27:48, GET, /admin/default/edit/rip/views/default/index.html, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-06-04 12:27:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:27:48, GET, /admin/default/edit/rip/views/default/index.html, HTTP/1.1, 200, 0.093000
127.0.0.1, 2018-06-04 12:27:48, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.133000
127.0.0.1, 2018-06-04 12:27:48, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.199000
127.0.0.1, 2018-06-04 12:27:48, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.241000
127.0.0.1, 2018-06-04 12:27:48, POST, /admin/debug/list_breakpoints, HTTP/1.1, 500, 0.252000
127.0.0.1, 2018-06-04 12:27:48, GET, /rip/appadmin/hooks, HTTP/1.1, 200, 0.435000
127.0.0.1, 2018-06-04 12:27:49, GET, /rip/default/index, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-06-04 12:27:49, GET, /rip/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.034000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/jquery.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/calendar.js, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/css/calendar.css, HTTP/1.1, 200, 0.048000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.043000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/js/share.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.004000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/images/background.jpg, HTTP/1.1, 200, 0.017000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/images/twitter.png, HTTP/1.1, 200, 0.025000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/images/facebook.png, HTTP/1.1, 200, 0.036000
127.0.0.1, 2018-06-04 12:27:50, GET, /rip/static/images/gplus-32.png, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-06-04 12:27:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:28:32, GET, /rip/dcApi/dcOperation, HTTP/1.1, 404, 0.023000
127.0.0.1, 2018-06-04 12:28:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:28:39, GET, /rip/default/index, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-06-04 12:28:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:28:59, GET, /rip/default/index, HTTP/1.1, 200, 0.045000
127.0.0.1, 2018-06-04 12:28:59, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-04 12:29:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:29:23, GET, /admin/default/peek/rip/views/Home/index.html, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-06-04 12:29:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-06-04 12:29:27, GET, /admin/default/edit/rip/views/Home/index.html, HTTP/1.1, 200, 0.053000
127.0.0.1, 2018-06-04 12:29:27, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:29:27, GET, /admin/default/edit/rip/views/Home/index.html, HTTP/1.1, 200, 0.082000
127.0.0.1, 2018-06-04 12:29:27, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.130000
127.0.0.1, 2018-06-04 12:29:27, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.224000
127.0.0.1, 2018-06-04 12:29:27, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.296000
127.0.0.1, 2018-06-04 12:29:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 500, 0.270000
127.0.0.1, 2018-06-04 12:29:27, GET, /rip/appadmin/hooks, HTTP/1.1, 200, 0.445000
127.0.0.1, 2018-06-04 12:29:32, GET, /rip/Home/index, HTTP/1.1, 200, 3.571000
127.0.0.1, 2018-06-04 12:29:32, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.000000
127.0.0.1, 2018-06-04 12:29:32, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-06-04 12:36:45, GET, /rip/Home/index, HTTP/1.1, 200, 0.064000
127.0.0.1, 2018-06-04 12:36:45, GET, /rip/static/images/logo1.png, HTTP/1.1, 404, 0.001000
